rho_keres,ACCNORM,SCENARIO,TSCEN,solver_ok,bk_terminal_check_ok,bk_terminal_ok,bk_initial_check_ok,bk_initial_ok,n_forward,n_unstable_terminal,n_unstable_initial,bk_qz_criterium,bk_info_code_terminal,nearest_unit_complex_terminal,rho_tenyleges,GDP_pct,y_E_pct,y_D_pct,y_L_pct,KKV_minus_L_pp,hiba
0.85,1,3,3,1,1,1,1,1,13,13,13,1.000001,0,0.93030421226937,0.85,0.29200765529415,-0.0984612123268186,0.312166559949724,0.161073196464501,-0.087404922072078,
0.9673,0,1,1,1,1,0,1,1,13,15,13,1.000001,3,1.01550794733793,0.9673,1.49013171894773,3.62708144095818,4.21057343175504,-1.85946960317798,5.73114282204692,
0.9673,0,1,2,1,1,0,1,1,13,15,13,1.000001,3,1.01550794733793,0.9673,1.18999610748261,1.49212117091106,1.84066181749195,-0.415164510615717,2.05338910328062,
0.9673,0,1,3,1,1,0,1,1,13,15,13,1.000001,3,1.01550794733793,0.9673,1.34006391321517,2.55960130593462,3.0256176246235,-1.13731705689685,3.89226596266377,
0.9673,0,2,1,1,1,0,1,1,13,15,13,1.000001,3,1.01550794733793,0.9673,2.02450680841423,4.92194336052203,5.71470197375377,-2.5191148791846,7.7733716934005,
0.9673,0,2,2,1,1,0,1,1,13,15,13,1.000001,3,1.01550794733793,0.9673,1.62087615851287,2.05078989390693,2.52757945802064,-0.576773547807764,2.82742703712858,
0.9673,0,2,3,1,1,0,1,1,13,15,13,1.000001,3,1.01550794733793,0.9673,1.82269148346355,3.48636662721448,4.12114071588721,-1.54794421349618,5.30039936526454,
0.9673,0,3,1,1,1,0,1,1,13,15,13,1.000001,3,1.01550794733793,0.9673,0.955756629481224,2.33221952139433,2.70644488975632,-1.19982432717136,3.68891395069333,
0.9673,0,3,2,1,1,0,1,1,13,15,13,1.000001,3,1.01550794733793,0.9673,0.759116056452358,0.933452447915183,1.15374417696325,-0.25355547342367,1.27935116943266,
0.9673,0,3,3,1,1,0,1,1,13,15,13,1.000001,3,1.01550794733793,0.9673,0.857436342966791,1.63283598465476,1.93009453335979,-0.726689900297517,2.484132560063,
0.9673,1,1,1,1,1,1,1,1,13,13,13,1.000001,0,0.928079789007862,0.9673,0.366903864693754,0.175885273226984,0.795910997285906,-0.0457202449124488,0.481511732089115,
0.9673,1,1,2,1,1,1,1,1,13,13,13,1.000001,0,0.928079789007862,0.9673,0.544802992624152,-0.472758893837735,0.173104748159933,0.553143874735104,-0.755165656537444,
0.9673,1,1,3,1,1,1,1,1,13,13,13,1.000001,0,0.928079789007862,0.9673,0.455853428658953,-0.148436810305376,0.48450787272292,0.253711814911327,-0.136826962224164,
0.9673,1,2,1,1,1,1,1,1,13,13,13,1.000001,0,0.928079789007862,0.9673,0.500077374622283,0.237744876466482,1.07563269783944,-0.0563340608876146,0.645309931355401,
0.9673,1,2,2,1,1,1,1,1,13,13,13,1.000001,0,0.928079789007862,0.9673,0.739321029425232,-0.634569693034347,0.238065673152788,0.749034927603921,-1.0178079361079,
0.9673,1,2,3,1,1,1,1,1,13,13,13,1.000001,0,0.928079789007862,0.9673,0.619699202023757,-0.198412408283933,0.656849185496115,0.346350433358153,-0.186249002376251,
0.9673,1,3,1,1,1,1,1,1,13,13,13,1.000001,0,0.928079789007862,0.9673,0.233730354765226,0.114025669987486,0.516189296732371,-0.0351064289372831,0.317713532822829,
0.9673,1,3,2,1,1,1,1,1,13,13,13,1.000001,0,0.928079789007862,0.9673,0.350284955823073,-0.310948094641123,0.108143823167078,0.357252821866286,-0.492523376966985,
0.9673,1,3,3,1,1,1,1,1,13,13,13,1.000001,0,0.928079789007862,0.9673,0.29200765529415,-0.0984612123268187,0.312166559949724,0.161073196464501,-0.087404922072078,
