negyedev,szcenario,y,c,ii,i_S,i_L,efp_S,efp_L,xx,infl,r,rer,dep
29,alap,0.00314462151354445,0.00553872278692439,0.0290321422040185,0.0294290938087759,0.028635190599261,-0.000346921985440221,-0.000338960744694319,-0.00717700583849309,-0.00145934320916346,-0.0019762328479057,-0.0230105617150775,0
30,alap,0.0032088674173038,0.00518950822050428,0.0278649758589916,0.0280823799769536,0.0276475717410296,-0.000328407626538335,-0.000330306400376311,-0.00662057876856577,-0.00144051740777854,-0.00195083609297333,-0.021570044307299,0
31,alap,0.00328688217710641,0.00486214418715458,0.0268118367692082,0.0268626559082605,0.0267610176301558,-0.000311811376683864,-0.00032213714555879,-0.00608132590428563,-0.00141885319377629,-0.00192613687509381,-0.0201511911135227,0
32,alap,0.00337731645375721,0.00455380523210965,0.0258712982050894,0.0257691646380798,0.0259734317720991,-0.000297068839897094,-0.000314477564550323,-0.0055600759929425,-0.00139490926549997,-0.00190208544809471,-0.0187562818480227,0
33,alap,0.00347873546657749,0.00426171261122501,0.0250399135031943,0.0247988174542108,0.0252810095521779,-0.000284098656046122,-0.000307342083377649,-0.00505720398585168,-0.00136921110482908,-0.00187863683686297,-0.0173870707431936,0
34,alap,0.00358967805766374,0.00398320891756602,0.0243126821491238,0.0239466979476572,0.0246786663505904,-0.000272805416243931,-0.000300735959654339,-0.00457270333821958,-0.00134224296151456,-0.00185575071887998,-0.0160448277816791,0
35,alap,0.00370870263635271,0.00371581121912319,0.0236834612462889,0.0232065096696725,0.0241604128229053,-0.00026308268160733,-0.000294656365669665,-0.00410625542599441,-0.00131444265817049,-0.00183339121697899,-0.0147303851235086,0
36,alap,0.00383442212900077,0.00345724665037746,0.023145323413831,0.0225709681327442,0.0237196786949178,-0.000254815963072391,-0.000289093509980712,-0.00365729420059915,-0.00128619874896102,-0.00181152663152942,-0.0134441863745475,0
37,alap,0.00396552971224079,0.00320547376408473,0.0226908632424761,0.0220321390419539,0.0233495874429984,-0.000247885556790248,-0.000284031754388062,-0.00322506493736106,-0.00125784960340721,-0.0017901291337077,-0.0121863367711403,0
38,alap,0.0041008168454209,0.00295869244687513,0.0223124552491527,0.0215817255187299,0.0230431849795755,-0.000242169160430478,-0.000279450693205057,-0.00280867647948972,-0.00122968402849288,-0.00176917443657493,-0.0109566527426475,0
39,alap,0.0042391849112794,0.00271534478967293,0.0220024668466679,0.0212113077157403,0.0227936259775955,-0.000237544221171531,-0.000275326170318264,-0.00240714677892179,-0.00120194308524682,-0.00174864145687849,-0.00975470965740065,0
40,alap,0.00437965160443326,0.0024741089545646,0.0217534302184147,0.0209125386525224,0.0225943217843071,-0.00023388998688717,-0.00027163121680702,-0.00201944182191947,-0.00117482279866817,-0.00172851197750965,-0.00857988685873248,0
41,alap,0.00452135306305604,0.00223388777693973,0.0215581771923604,0.0206773003575637,0.0224390540271572,-0.000231089248628798,-0.000268336897965852,-0.00164450822732978,-0.00114847750112442,-0.00170877031816618,-0.00743140935760805,0
42,alap,0.00466354261276133,0.0019937935752879,0.0214099412731788,0.0204978245129138,0.0223220580334439,-0.000229029775497184,-0.000265413063575583,-0.00128129993931965,-0.00112302358839858,-0.00168940301984275,-0.00630838576920947,0
43,alap,0.00480558687866407,0.00175313040466289,0.021302430943293,0.0203667817886085,0.0222380800979775,-0.000227605452892613,-0.000262828999314201,-0.000928799519996127,-0.00109854350386223,-0.00167039854720007,-0.00520984226534725,0
44,alap,0.00494695991918698,0.00151137477956871,0.0212298782069024,0.0202773439502783,0.0221824124635266,-0.000226717142387509,-0.000260553980399509,-0.000586034592825881,-0.00107508979947383,-0.001651747011577,-0.00413475246587342,0
45,alap,0.00508723594187949,0.0012681557052717,0.0211870661470804,0.0202232226457715,0.0221509096483892,-0.000226273286496202,-0.000258557731019217,-0.000252090004669601,-0.00105268915227298,-0.0016334399163557,-0.00308206331360045,0
46,alap,0.00522608107646527,0.00102323469142507,0.0211693390133014,0.0201986885443557,0.0221399894822471,-0.000226190284798644,-0.000256810794931084,7.38837300573794e-05,-0.00103134624171099,-0.00161546992553149,-0.00205071707188946,0
47,alap,0.00536324460304935,0.000776486276905783,0.021172598071238,0.0201985742314884,0.0221466219109876,-0.000226392669544487,-0.000255284823899701,0.000392665159305621,-0.00101104741656928,-0.00159783065564637,-0.00103966965532019,0
48,alap,0.0054985499635958,0.000527879468565227,0.0211932861418324,0.0202182639673198,0.022168308316345,-0.000226813109318995,-0.000253952791463601,0.000704959284179643,-0.000991764100485788,-0.00158051649069441,-4.79055548343946e-05,0
49,alap,0.0056318858222019,0.000277460387893867,0.0212283634437073,0.0202536731097986,0.022203053777616,-0.000227392268854139,-0.000252789139975169,0.00101139713523602,-0.000973455902403123,-0.00156352241917871,0.000925550347568728,0
50,alap,0.00576319738411101,2.53363270970551e-05,0.0212752770410615,0.0203012196932766,0.0222493343888464,-0.000228078551843656,-0.000251769868996783,0.00131253710124823,-0.00095607341277597,-0.00154684389217574,0.0018816237603447,0
51,alap,0.00589247813455964,-0.000228338661540581,0.0213319258955467,0.0203577903486899,0.0223060614424035,-0.000228827751864422,-0.000250872573032753,0.00160886762196132,-0.000939560678358509,-0.00153047670102932,0.0028211844387032,0
52,alap,0.0060197621161314,-0.000483376583197092,0.0213966232308351,0.0204207024579472,0.022372544003723,-0.000229602634382686,-0.000250076436283172,0.00190081090146775,-0.000923857358077136,-0.00151441687313794,0.00374504179678034,0
53,alap,0.00614511682693009,-0.000739566717017498,0.0214680576467841,0.0204876641577494,0.0224484511358189,-0.000230372470469983,-0.000249362191670776,0.00218872734317851,-0.000908900570127541,-0.00149866058420574,0.00465394236690788,0
54,alap,0.00626863679118227,-0.000996685264610369,0.0215452541691459,0.0205567335500875,0.0225337747882043,-0.000231112540382232,-0.000248712050856663,0.00247292044996664,-0.000894626446262896,-0.00148320408528534,0.00554856881317078,0
55,alap,0.00639043782839864,-0.00125450349494188,0.0216275361924352,0.0206262782403679,0.0226287941445024,-0.000231803622657171,-0.000248109611360005,0.00275364197321995,-0.00088097141349947,-0.00146804364294241,0.00642954022667025,0
56,alap,0.0065106520265048,-0.00151279447305004,0.0217144890687372,0.0206949361107855,0.022734042026689,-0.000232431481930585,-0.000247539746259705,0.00303109713177934,-0.000867873226383427,-0.00145317549090643,0.00729741345305367,0
57,alap,0.00662942340792521,-0.00177133847583629,0.0218059259140323,0.0207615780466976,0.022850273781367,-0.000232986366314473,-0.000246988481306012,0.00330544975576282,-0.000855271774749468,-0.00143859579163264,0.00815268522780314,0
58,alap,0.00674690426499849,-0.0020299272079446,0.0219018560455631,0.0208252731671785,0.0229784389239478,-0.000233462522959094,-0.00024644286362626,0.00357682724093896,-0.000843109692753171,-0.00142430060627938,0.00899579492055631,0
59,alap,0.00686325213185568,-0.00228836693542674,0.0220024563279282,0.0208852569669586,0.0231196556888978,-0.000233857738362113,-0.000245890825585804,0.00384532522659274,-0.000831332795051319,-0.0014102858716961,0.00982712771560763,0
60,alap,0.00697862735355717,-0.00254648065544806,0.0221080455906313,0.0209409026544697,0.0232751885267929,-0.000234172908107337,-0.000245321046773878,0.00411101193379009,-0.00081989036549646,-0.00139654738311581,0.0106470180811041,0
61,alap,0.00709319120943299,-0.00280410941755161,0.0222190621841844,0.0209916958683021,0.0234464285000667,-0.000234411639019732,-0.000244722816532185,0.00437393212174067,-0.000808735322743104,-0.00138308078134659,0.0114557534038472,0
62,alap,0.00720710454580177,-0.00306111290672468,0.0223360446637847,0.0210372128703904,0.023634876457179,-0.000234579885212443,-0.00024408589893672,0.00463411063777879,-0.000797824285854377,-0.00136988154335583,0.0122535776897016,0
63,alap,0.00732052687318168,-0.00331736939136745,0.022459615527195,0.0210771022468707,0.0238421288075193,-0.000234685618169607,-0.000243400401683251,0.00489155555156866,-0.000787117561453102,-0.00135694497523571,0.0130406952511547,0
64,alap,0.00743361588440335,-0.00357277513083591,0.0225904678848222,0.0211110700949084,0.024069865674736,-0.000234738529846065,-0.000242656649915121,0.00514626087675759,-0.000776579072266375,-0.00134426620662598,0.0138172743234211,0
65,alap,0.00754652735237021,-0.00382724332803342,0.0227293549031665,0.0211388686339272,0.0243198411724057,-0.000234749766758711,-0.000241845065667978,0.00539820889372682,-0.000766176245138188,-0.00133184018574828,0.0145834505685592,0
66,alap,0.00765941536929232,-0.00408070270299768,0.0228770818358882,0.0211602881506402,0.0245938755211363,-0.000234731692179271,-0.000240956053287999,0.00564737209561226,-0.000755879874785782,-0.00131966167427471,0.015339330443345,0
67,alap,0.00777243289277435,-0.00433309575395739,0.0230345004378339,0.0211751521671445,0.0248938487085232,-0.000234697672798893,-0.00023997989090577,0.00589371478666697,-0.000745663977793965,-0.00130772524130925,0.016084994421139,0
68,alap,0.00788573256791717,-0.00458437676324078,0.0232025055446697,0.0211833157082122,0.0252216953811273,-0.0002346618856048,-0.000238906627814062,0.00613719436759071,-0.000735505649606239,-0.00129602525580591,0.0168205000707452,0
69,alap,0.00799946779836325,-0.00483450959699106,0.0233820335925636,0.0211846665359446,0.0255794006491826,-0.000234639140172623,-0.000237725987401104,0.00637776234691857,-0.000725384935599887,-0.00128455587678036,0.0175458850063451,0
70,alap,0.00811379404275733,-0.00508346534012406,0.0235740628469666,0.0211791292153661,0.0259689964785671,-0.000234644711120025,-0.00023642727512813,0.00661536512118536,-0.000715284725730608,-0.00127331104069368,0.0182611697320757,0
71,alap,0.00822887031619441,-0.00533121980156538,0.0237796151054143,0.0211666718715979,0.0263925583392306,-0.000234694175074606,-0.000234999290907776,0.00684994456958366,-0.000705190680698423,-0.00126228444539901,0.0189663604127741,0
