OPTEN,accscale,lamscale,omscale,rho_acc,lambda_acc_E,omega_acc_E,konvergalt,GDP_pct,y_E_pct,y_D_pct,y_L_pct,y_KKV_pct,KKV_minus_L_pp,D_minus_L_pp,E_minus_L_pp
1,100,0,140,0.9673,0,0.49,1,0.416895028578372,-0.27605178901848,0.233364048171301,0.349825817408486,-0.0625117108693655,-0.412337528277852,-0.116461769237186,-0.625877606426967
1,100,5,0,0.9673,0.1,0,1,0.416895028578372,-0.27605178901848,0.233364048171301,0.349825817408486,-0.0625117108693655,-0.412337528277852,-0.116461769237186,-0.625877606426967
1,100,5,5,0.9673,0.1,0.0175,1,0.419908271399404,-0.26613166758812,0.253622754891118,0.342183201246595,-0.048257797378592,-0.390440998625187,-0.0885604463554775,-0.608314868834715
1,100,5,10,0.9673,0.1,0.035,1,0.422915606598275,-0.256239581178682,0.273697738447532,0.33459160065143,-0.0340971812262524,-0.368688781877682,-0.0608938622038978,-0.590831181830112
1,100,5,15,0.9673,0.1,0.0525,1,0.425917076569575,-0.246375263291302,0.293591412696531,0.327050375436673,-0.0200286957710557,-0.347079071207729,-0.033458962740142,-0.573425638727975
1,100,5,20,0.9673,0.1,0.07,1,0.428912723050869,-0.236538451827389,0.313306149554096,0.319558896471087,-0.00605119450812147,-0.325610090979208,-0.00625274691699051,-0.556097348298476
1,100,5,30,0.9673,0.1,0.105,1,0.43488670929209,-0.216946321212683,0.352208094474264,0.304722714611549,0.0216353433762532,-0.283087371235296,0.0474853798627152,-0.521669035824232
1,100,5,40,0.9673,0.1,0.14,1,0.44083788660416,-0.197461177022395,0.390421743602204,0.290078234204723,0.0489712179836882,-0.241107016221034,0.100343509397481,-0.487539411227118
1,100,5,60,0.9673,0.1,0.21,1,0.452673051695581,-0.158804119007713,0.464853784882348,0.261345898608598,0.102624654525652,-0.158721244082946,0.203507886273749,-0.420150017616311
1,100,5,80,0.9673,0.1,0.28,1,0.464420602523218,-0.120552423911548,0.536735784387729,0.233326447210751,0.154973708414859,-0.0783527387958917,0.303409337176978,-0.353878871122299
1,100,5,100,0.9673,0.1,0.35,1,0.476082786851897,-0.0826921496780057,0.606192576271461,0.205986725121139,0.206078806141684,9.20810205452816e-05,0.400205851150322,-0.288678874799145
1,100,5,140,0.9673,0.1,0.49,1,0.4991594280696,-0.00809422793005787,0.738290583554546,0.153224208905242,0.304779969018705,0.151555760113464,0.585066374649304,-0.1613184368353
1,100,10,0,0.9673,0.2,0,1,0.416895028578372,-0.27605178901848,0.233364048171301,0.349825817408486,-0.0625117108693655,-0.412337528277852,-0.116461769237186,-0.625877606426967
1,100,10,5,0.9673,0.2,0.0175,1,0.422915606598275,-0.256239581178682,0.273697738447532,0.33459160065143,-0.0340971812262523,-0.368688781877682,-0.060893862203898,-0.590831181830112
1,100,10,10,0.9673,0.2,0.035,1,0.428912723050869,-0.236538451827389,0.313306149554096,0.319558896471087,-0.00605119450812147,-0.325610090979208,-0.00625274691699051,-0.556097348298476
1,100,10,15,0.9673,0.2,0.0525,1,0.43488670929209,-0.216946321212683,0.352208094474264,0.304722714611549,0.0216353433762532,-0.283087371235296,0.0474853798627152,-0.521669035824232
1,100,10,20,0.9673,0.2,0.07,1,0.44083788660416,-0.197461177022395,0.390421743602204,0.290078234204723,0.0489712179836882,-0.241107016221034,0.100343509397481,-0.487539411227118
1,100,10,30,0.9673,0.2,0.105,1,0.452673051695581,-0.158804119007713,0.464853784882348,0.261345898608598,0.102624654525652,-0.158721244082946,0.203507886273749,-0.420150017616311
1,100,10,40,0.9673,0.2,0.14,1,0.464420602523218,-0.120552423911548,0.536735784387729,0.233326447210751,0.154973708414859,-0.0783527387958917,0.303409337176978,-0.353878871122299
1,100,10,60,0.9673,0.2,0.21,1,0.487661726708297,-0.0452101938113079,0.673341011076643,0.179295682442092,0.255996539949406,0.0767008575073144,0.494045328634551,-0.2245058762534
1,100,10,80,0.9673,0.2,0.28,1,0.510577789654741,0.0286673616063948,0.801144002160184,0.12774498386798,0.352478892677363,0.224733908809382,0.673399018292204,-0.0990776222615853
1,100,10,100,0.9673,0.2,0.35,1,0.533183599301029,0.101170611346529,0.920942337857332,0.07846213942911,0.444807588770017,0.366345449340907,0.842480198428222,0.0227084719174192
1,100,10,140,0.9673,0.2,0.49,1,0.577516508830516,0.242367935789306,1.13926303112658,-0.0140295221073782,0.618333963477855,0.632363485585233,1.15329255323395,0.256397457896684
1,100,15,0,0.9673,0.3,0,1,0.416895028578372,-0.27605178901848,0.233364048171301,0.349825817408486,-0.0625117108693655,-0.412337528277852,-0.116461769237186,-0.625877606426967
1,100,15,5,0.9673,0.3,0.0175,1,0.425917076569575,-0.246375263291302,0.293591412696531,0.327050375436673,-0.0200286957710557,-0.347079071207728,-0.0334589627401419,-0.573425638727975
1,100,15,10,0.9673,0.3,0.035,1,0.43488670929209,-0.216946321212683,0.352208094474264,0.304722714611549,0.0216353433762533,-0.283087371235296,0.0474853798627155,-0.521669035824232
1,100,15,15,0.9673,0.3,0.0525,1,0.443805019661538,-0.187758113729189,0.409275966503974,0.282826420071939,0.0625103209036715,-0.220316099168267,0.126449546432035,-0.470584533801128
1,100,15,20,0.9673,0.3,0.07,1,0.452673051695581,-0.158804119007713,0.464853784882348,0.261345898608598,0.102624654525652,-0.158721244082946,0.203507886273749,-0.420150017616311
1,100,15,30,0.9673,0.3,0.105,1,0.470262230044443,-0.101574196971836,0.571759848665836,0.219573607939636,0.180678128592126,-0.0388954793475099,0.352186240726201,-0.321147804911472
1,100,15,40,0.9673,0.3,0.14,1,0.487661726708297,-0.0452101938113078,0.673341011076644,0.179295682442092,0.255996539949407,0.0767008575073145,0.494045328634552,-0.2245058762534
1,100,15,60,0.9673,0.3,0.21,1,0.521918610913979,0.0650855276474248,0.861997706449849,0.102832340030213,0.399140098620753,0.296307758590541,0.759165366419637,-0.0377468123827877
1,100,15,80,0.9673,0.3,0.28,1,0.555492486486918,0.172380102409794,1.03344049352138,0.0312594946621031,0.533324717369958,0.502065222707855,1.00218099885927,0.141120607747691
1,100,15,100,0.9673,0.3,0.35,1,0.588425158040772,0.276924239636343,1.18984701497123,-0.0360034325732115,0.659608849256148,0.69561228182936,1.22585044754444,0.312927672209555
1,100,15,140,0.9673,0.3,0.49,1,0.652507096371694,0.478585436998366,1.46457620177003,-0.1594770122728,0.891899137893786,1.05137615016659,1.62405321404283,0.638062449271166
1,100,20,0,0.9673,0.4,0,1,0.416895028578372,-0.27605178901848,0.233364048171301,0.349825817408486,-0.0625117108693655,-0.412337528277852,-0.116461769237186,-0.625877606426967
