negyedev,szcenario,y,y_d,y_x,i_S,i_L,efp_S,efp_L,nw_S,nw_L,h_dx,xx,c,infl,r,rer,rk_S,rk_L,z_S,z_L,l_S,l_L
46,optimista,0.00564261283122546,0.00209983415704446,0.00334168512184879,0.0116884350941445,0.0194359130343497,-0.000632924398241506,-0.000493554063694139,-0.0182368043521524,-0.0173538675604316,0.00336253472111878,0.00334168512184879,-0.00117179132466919,-0.000120647681832375,-0.00012803466085746,0.00890463634887941,-0.0166269351931596,-0.012526155308825,-0.00048078168975105,0.00135449312253938,0.000338775187934426,0.00360827453617443
47,optimista,0.00565935457626017,0.00210592062122352,0.00336572158192935,0.01196638955504,0.0191193653714795,-0.000633228944198268,-0.000492195368718845,-0.0182870092198718,-0.0173535954493525,0.00338442629872394,0.00336572158192935,-0.00115818303364502,-0.000108950381360346,-0.000115810791512159,0.00901358673023975,-0.0164359890440541,-0.0125463170945523,-0.000458031462019255,0.00136662252994863,0.00036659190384581,0.00363433678607756
48,optimista,0.00567347854630241,0.00211010038007959,0.00338752450322013,0.0122290653557174,0.0188148573946435,-0.000633463731681548,-0.000491016644518147,-0.0183351667540596,-0.0173509490374082,0.00340432714466111,0.00338752450322013,-0.00114697191411838,-9.84590159451184e-05,-0.000104404332231208,0.00911204574618487,-0.0162686986397,-0.0125634918953767,-0.000439387158869085,0.00137783857372181,0.000389926901362223,0.00365845223935791
49,optimista,0.00568534574708235,0.00211276821025045,0.00340729703172327,0.0124755325770955,0.0185237127650941,-0.000633604921158423,-0.000489996357328801,-0.0183812732885126,-0.0173463633382784,0.00342241537622403,0.00340729703172327,-0.00113761309183511,-8.90362456961961e-05,-9.37966189863956e-05,0.00920108199188107,-0.0161226883029153,-0.0125772389721198,-0.000424249694462356,0.00138828637705597,0.000409403665261444,0.00368083311629642
50,optimista,0.00569529335870451,0.00211428961229133,0.00342520804785425,0.0127053577210056,0.018247018135461,-0.000633638782006418,-0.000489115815788942,-0.0184252891042478,-0.0173402137693699,0.00343883600859167,0.00342520804785425,-0.00112964053850124,-8.05588317202547e-05,-8.39645864956263e-05,0.00928164082360133,-0.0159956797664676,-0.0125872859936265,-0.000412053579999007,0.00139806810977635,0.000425604883198633,0.00370162888356986
51,optimista,0.00570363048368902,0.00211499409626433,0.0034413995510739,0.0129184982397004,0.0179856232594408,-0.000633559606765048,-0.000488358780249383,-0.0184671555976851,-0.0173328241271505,0.00345370866997088,0.0034413995510739,-0.00112266338033187,-7.29170498630606e-05,-7.48812728021976e-05,0.00935455787346439,-0.0158855268044427,-0.0125935061896794,-0.000402277597166486,0.00140725261742949,0.00043906415169798,0.00372094242680677
52,optimista,0.00571063572315448,0.00211517136373548,0.00345599286607053,0.0131152122794229,0.0177401471184598,-0.000633367891955011,-0.000487711110476478,-0.0185068084200837,-0.0173244734770812,0.00346713402149123,0.00345599286607053,-0.00111636059018099,-6.60138902020369e-05,-6.65164354934139e-05,0.00942057176366642,-0.0157902377987339,-0.0125958959716777,-0.000394451377286686,0.00141588365358147,0.000450261269279742,0.00373884343163915
53,optimista,0.00571655622131149,0.00211506979943855,0.00346909375387163,0.0132959825271514,0.0175109888319389,-0.00063306877598201,-0.000487160453265077,-0.0185441871948512,-0.0173154020798896,0.00347919898575579,0.00346909375387163,-0.00111047465020394,-5.97641149823752e-05,-5.8837218691609e-05,0.0094803358786488,-0.0157079884893092,-0.0125945535576292,-0.000388158686096795,0.00142398678844921,0.000459620384222079,0.00375537923182611
54,optimista,0.00572160785977031,0.00211489675575162,0.00348079653021313,0.0134614528843271,0.0172983422182159,-0.00063267071886244,-0.000486695969619551,-0.0185792423746013,-0.0173058164725085,0.00348998090516491,0.00348079653021313,-0.00110480465653371,-5.40932349235997e-05,-5.18088257537599e-05,0.0095344291135724,-0.0156371269154542,-0.0125896589906404,-0.000383038121885774,0.00143157509464089,0.000467510354502298,0.00377058340470809
55,optimista,0.00572597632441914,0.00211482018249599,0.00349118730356897,0.0136123766102904,0.0171022129887662,-0.000632184404694422,-0.00048630809982061,-0.0186119397485421,-0.0172958938154894,0.00349955075924016,0.00349118730356897,-0.00109919923591745,-4.89364521723565e-05,-4.5395165495201e-05,0.00958336556574475,-0.015576172307722,-0.0125814558144685,-0.000378781842477462,0.00143865372756255,0.000474246765811159,0.00378448240035626
