negyedev,szcenario,y,y_S,y_L,ii,i_S,i_L,c,nn,efp_S,efp_L,nw_S,nw_L,infl,r,rer,xx,sov,bank
11,alap,0.000637338154749451,0.000751141984938458,0.000498244584518443,0.00495966235546898,0.00585811821426726,0.0040612064966707,-0.000618896328907539,0.000534263032809007,-0.000220056338366775,-0.000177982730252259,0.00538039084560891,0.00429719611101732,-0.000133731791667194,-0.000104673248964476,0.000405947869267166,0.000405947869267166,-0.00275,0
12,alap,0.000669710016575154,0.000795694079120189,0.000515729495686778,0.00516691488107717,0.00610642944363846,0.00422740031851588,-0.000602171754574075,0.000534983531065454,-0.000219696377009005,-0.00018658007972056,0.00477688566901097,0.00376953165704811,-0.000139322279663168,-0.000108792532656152,0.000426566889538314,0.000426566889538314,-0.003,0
13,alap,0.000702389728642006,0.000840767110689307,0.00053326181725086,0.00538139841471241,0.0063654841088238,0.00439731272060103,-0.000583202692179205,0.000534856689571686,-0.000451095903556005,-0.000304653245632287,0.00420410289250673,0.00325314058408682,-0.000145101834463382,-0.000113004833247886,0.000447381992765608,0.000447381992765608,-0.0035,-0.00028125
14,alap,0.000735050039661365,0.0008859472005355,0.000550620176370756,0.00553243914554442,0.00653934129735275,0.0045255369937361,-0.00056232002980377,0.000533279957381355,-0.000676328564998666,-0.000421262175461839,0.00330823197447626,0.00255505547568374,-0.000151026426743018,-0.00011733554362968,0.000468184738637812,0.000468184738637812,-0.004,-0.0005625
15,alap,0.000767241536007839,0.000930593832169143,0.000567588729588467,0.00561720594270522,0.00662466023155538,0.00460975165385505,-0.000539785924497097,0.000530412936639815,-0.000897229507306379,-0.000536723869037093,0.00211480095695448,0.00168693442852537,-0.000156916751849018,-0.000121762422058253,0.000488688876438114,0.000488688876438114,-0.0045,-0.00084375
16,alap,0.000798512625849645,0.000974021863262751,0.000584001335678071,0.00563225418674016,0.00661716627624009,0.00464734209724024,-0.000515840903504533,0.000526405095233905,-0.00111552883100488,-0.000651346392882369,0.000645272058001058,0.000659295507266407,-0.000162618158447723,-0.000126232569534679,0.000508606768057099,0.000508606768057099,-0.005,-0.001125
17,alap,0.000828501793752564,0.00101564161137918,0.000599775349986695,0.005573525479083,0.00651164891221885,0.00463540204594716,-0.000490726157995162,0.000521566033021441,-0.00103912160398997,-0.000631055061138542,-0.00108259536802641,-0.000518410553587676,-0.000167998723607555,-0.000130673127866195,0.000527708148886983,0.000527708148886983,-0.005,-0.001125
18,alap,0.000857048584516296,0.00105512139895065,0.000614959589096533,0.00552552992757936,0.00642434028666043,0.00462671956849829,-0.000464686544719901,0.000516565350591769,-0.000971584350062145,-0.000612414568576047,-0.00260793043768984,-0.00160156929585928,-0.000172969584959707,-0.000135003163167961,0.000545890818163246,0.000545890818163246,-0.005,-0.001125
19,alap,0.000884169125474581,0.00109243765609171,0.000629618699164757,0.00548691855161079,0.00635297956071172,0.00462085754250985,-0.000437938787070096,0.000511179930754698,-0.000911897783792698,-0.000595298789452295,-0.00395434212789981,-0.00259780943533872,-0.00017760330495357,-0.000139179293883575,0.000563165048072981,0.000563165048072981,-0.005,-0.001125
20,alap,0.00090994787148619,0.00112770241453452,0.00064380342998267,0.00545651049473117,0.00629558833003564,0.0046174326594267,-0.000410663808467355,0.000505348895172193,-0.000859157076614195,-0.000579590499808852,-0.00514270965286972,-0.00351415658603419,-0.000181937035122965,-0.000143175848856595,0.000579584631519866,0.000579584631519866,-0.005,-0.001125
