negyedev,szcenario,y,yd,y_E,y_D,y_L,x_E,x_D,x_L,i_E,i_D,i_L,efp_E,efp_D,efp_L,xx,c,infl,r,rer,bstar
28,optimista,0.000805059774194586,0.00091431041564342,0.000355105282981443,0.000528921201979843,0.00121208884116752,0.000185575104044794,0.000162890133821172,0.000967425969293041,0.00267319228797125,0.00268056721425227,0.00545389364967596,-0.000528311389356988,-0.000525557950516149,-0.00103148604870383,0.000636792231958993,0.000232371834375818,-4.55434106381571e-05,-0.000133533998380149,0.000529014554423764,-0.0119658640064794
29,optimista,0.000850170076286136,0.000961995571753149,0.000397211112189984,0.000551860383653245,0.00127663052031165,0.000223685391839129,0.000177202578350264,0.00102620135571439,0.00269212305808398,0.00269940355682351,0.00549927964226898,-0.000519658476718342,-0.000517188316303266,-0.00101819060756422,0.000685320752046128,0.000300537970579409,-3.86043801683506e-05,-0.000112775649195984,0.000567618934592114,-0.0120488974032161
30,optimista,0.000889447036928813,0.00100387928332138,0.000431649261792942,0.000570699497870534,0.00133464745687553,0.000254078503857027,0.00018730808869072,0.00107838056758165,0.00271254029242305,0.00271980340208771,0.00554612066964549,-0.000511821885391431,-0.000509571088060835,-0.00100590762320564,0.000727009321767775,0.000358727041200279,-3.26904443294591e-05,-9.59371899528075e-05,0.000600309378921574,-0.0121162512401888
31,optimista,0.000923984461321621,0.001041131235256,0.000459758451322405,0.000586329295567379,0.00138730244605258,0.000277975412947773,0.000193843189985787,0.00112495647021646,0.00273408141092524,0.00274139016247496,0.0055940300529755,-0.00050479704290373,-0.000502714878840959,-0.000994589842231225,0.000762908850613814,0.000408974777389143,-2.76785873011734e-05,-8.2118615805656e-05,0.000627987966222748,-0.0121715255367774
32,optimista,0.000954474389756889,0.00107440389767034,0.000482530705613486,0.000599191118173666,0.00143537366449379,0.000296429547151423,0.000197381798766938,0.00116679585625877,0.00275647473662869,0.00276388026316794,0.00564271943891882,-0.000498551379662182,-0.000496597844542311,-0.000984183699420365,0.000793933536479584,0.000452439317177816,-2.34587531247212e-05,-7.05778246588191e-05,0.000651446719347469,-0.0122176887013647
33,optimista,0.000981409836232059,0.00110411117042247,0.000500750049455538,0.000609533984135238,0.0014794383404445,0.000310347696982316,0.000198437995840783,0.0012046531272161,0.00277952840990082,0.00278707249219311,0.00569198442250268,-0.000493031253487386,-0.000491174772946449,-0.000974631214103184,0.000820876410513478,0.000489861917822466,-1.99318318176836e-05,-6.07468251599245e-05,0.000671378551165153,-0.0122570126993603
34,optimista,0.00100520035695117,0.00113058587718567,0.000515076538618071,0.000617557003618116,0.00151997886369159,0.000320508988262995,0.000197467974442383,0.00123918251261097,0.00280311323501543,0.00281083070067997,0.00574168452427187,-0.000488170225762031,-0.000486385707480282,-0.000965872462748357,0.000844423292962132,0.000521830948502772,-1.70083479408029e-05,-5.22156189361857e-05,0.000688386899105956,-0.0122911375242553
35,optimista,0.00102622902598919,0.0011541558237721,0.000526092616912129,0.000623475496971734,0.00155743649125658,0.000327581627582264,0.000194872224554981,0.00127094904074644,0.00282714492040447,0.00283506562649306,0.00579172329700528,-0.000483896585448251,-0.000482163869564613,-0.000957847901532448,0.000865165248607546,0.000548912485513586,-1.46075852800913e-05,-4.47020716045453e-05,0.000702994484386046,-0.0123211917135818
36,optimista,0.00104487334111828,0.00117516976142653,0.000534325517720227,0.000627540784499609,0.00159223257258619,0.000332137455877063,0.000190998378247323,0.00130043843788072,0.00285156856461144,0.0028597188886389,0.00584203144756443,-0.00048013919891088,-0.00047844188250349,-0.000950500202096201,0.000883609684411244,0.000571697973314749,-1.26569546696565e-05,-3.80189989314115e-05,0.000715651439055704,-0.0123479240042744
37,optimista,0.00106150637628162,0.00119399598350473,0.000540255863515936,0.000630035175005858,0.00162477179132574,0.000334664513919153,0.000186144761103714,0.0013280660936122,0.00287634651544189,0.00288475038895018,0.00589255399129845,-0.000476831487020619,-0.00047515606310707,-0.000943775507390074,0.000900190244628425,0.000590805865206712,-1.10914771836088e-05,-3.2044531686771e-05,0.000726742916239312,-0.0123718218732529
