negyedev,y_eps_x,y_d_eps_x,y_x_eps_x,i_S_eps_x,i_L_eps_x,efp_S_eps_x,efp_L_eps_x,h_dx_eps_x,xx_eps_x,mcx_rel_eps_x,y_eps_r,y_d_eps_r,y_x_eps_r,i_S_eps_r,i_L_eps_r,efp_S_eps_r,efp_L_eps_r,h_dx_eps_r,xx_eps_r,mcx_rel_eps_r
11,-0.0322823540028985,0.0305056114777765,-0.0917984300486494,-0.0619194131252002,-0.0650926833698809,0.0003451029012908,0.000246668286159168,-0.0889076380866514,-0.0917984300486494,-0.00192079610810721,-0.00993499905339521,0.00625805061563228,-0.0235616934337776,-0.0255001057187672,-0.0212855019395687,0.000405071538723319,0.000254668615169712,-0.0218449123396169,-0.0235616934337776,-0.000453089702174159
12,-0.0328661407312127,0.0305651748386151,-0.0923728772098906,-0.0609227949938507,-0.0667710831674811,0.000219284456967483,0.000191602165617703,-0.0896701091582277,-0.0923728772098905,-0.0012679163492382,-0.00990723267193641,0.00652681379716225,-0.0237057403329113,-0.0239940822754748,-0.0212157684220158,0.000327587211163781,0.000224609090062335,-0.0221897193770629,-0.0237057403329113,-0.000245276913602537
13,-0.0333863880148193,0.0305860748697031,-0.0929297963606827,-0.0595558319786343,-0.0680593919261783,0.000107550880996776,0.000139700241577036,-0.0904336437578605,-0.0929297963606827,-0.00089647105568302,-0.00989139215172013,0.00675147684784373,-0.0238968058933038,-0.0224108948806018,-0.0210596713968195,0.000257990528255435,0.000196056680682375,-0.0225714430938027,-0.0238968058933038,-0.000134549361711811
14,-0.0338303555857353,0.0306027544116239,-0.0934553229021493,-0.0578942686361451,-0.0689926206034792,9.36192506453521e-06,9.10679917256017e-05,-0.0911619533453056,-0.0934553229021492,-0.00069491459976926,-0.0098762435459282,0.00694816901865727,-0.0241069730365077,-0.0207952175824174,-0.0208339944509573,0.000196306653886764,0.00016920739289198,-0.0229552191217259,-0.0241069730365077,-8.13986373034875e-05
15,-0.0341938711794905,0.030634988931038,-0.0939406610823321,-0.0560043117180498,-0.0696042210671328,-7.61942937298892e-05,4.56681242503542e-05,-0.0918356695758312,-0.093940661082332,-0.000590945984701361,-0.00985525758340777,0.00712718809207167,-0.024318086139614,-0.0191820249267494,-0.0205523362985591,0.00014223905149415,0.000144140689420965,-0.0233204577181524,-0.024318086139614,-6.02449355340349e-05
16,-0.034478551889883,0.030692399485023,-0.0943819295888214,-0.0539442122532029,-0.0699264560731721,-0.000150212460643701,3.38051608239497e-06,-0.0924473400796062,-0.0943819295888213,-0.000539220833180388,-0.00982523106236366,0.0072946545484632,-0.0245192107354084,-0.017598577779871,-0.0202259788594014,9.52984671120124e-05,0.000120859039040526,-0.0236564037858273,-0.0245192107354084,-5.5152581714661e-05
17,-0.0346896270827754,0.0307779018633681,-0.0947789983462399,-0.0517652954351909,-0.0699904671575512,-0.000213845663274187,-3.59573795094922e-05,-0.0929970591486299,-0.09477899834624,-0.000512411842203965,-0.00978518440493149,0.007453835564495,-0.0247044431014966,-0.0160659215735944,-0.0198644662262471,5.48932980635476e-05,9.93162101572525e-05,-0.0239586902237041,-0.0247044431014966,-5.66617674544552e-05
18,-0.0348343284803169,0.0308902405406618,-0.0951341649867052,-0.0495126516605077,-0.0698261820291653,-0.000268227851214818,-7.25245343385866e-05,-0.0934891291807913,-0.0951341649867053,-0.000494901146005172,-0.00973553066849907,0.00760614862401022,-0.0248711987886369,-0.0146000327632234,-0.019475988166029,2.0390947762616e-05,7.94370005405661e-05,-0.0242268375396552,-0.024871198788637,-5.95254520916614e-05
19,-0.0349207596206769,0.0310257843534602,-0.0954510286841958,-0.0472256331370073,-0.0694621543554195,-0.000314429114789091,-0.000106500580361175,-0.0939297415631339,-0.0954510286841958,-0.000478447130027793,-0.0096774779845567,0.00775189005783865,-0.0250189599872163,-0.0132127124978716,-0.0190676346522553,-8.84202840522647e-06,6.1130634897969e-05,-0.0244625361548036,-0.0250189599872163,-6.11403040318062e-05
20,-0.0349571431456049,0.0311797534393761,-0.0957336660286799,-0.044938249494987,-0.068925393470818,-0.000353433089347849,-0.000138057047148865,-0.0943255023629552,-0.0957336660286798,-0.00045928226172746,-0.00961261816747119,0.00789074339860336,-0.0251484048843469,-0.0119122983575617,-0.0186455675166658,-3.34149003287243e-05,4.4299595250634e-05,-0.0246685255587005,-0.0251484048843469,-6.04890356826295e-05
21,-0.0349513507619433,0.0313470237397854,-0.0959860962089517,-0.0426795194399701,-0.0682412167793586,-0.000386128644301039,-0.000167353198807565,-0.0946825894884221,-0.0959860962089517,-0.000436219409216247,-0.00954265638133286,0.00802211972391568,-0.0252608305353309,-0.0107042440513934,-0.0182151403621502,-5.38982629043274e-05,2.88452333707286e-05,-0.0248479030965621,-0.0252608305353309,-5.7447874704581e-05
22,-0.034910635571265,0.0315226274984143,-0.0962119782872367,-0.0404738104239788,-0.0674331409364133,-0.000413310299800037,-0.000194534744030184,-0.0950063460665396,-0.0962119782872366,-0.000409451499072386,-0.00946924346703281,0.00814537450534926,-0.0253577889573122,-0.00959160171912293,-0.0177809871929826,-7.08166674367678e-05,1.46711691957532e-05,-0.0250037275280993,-0.0253577889573121,-5.23477180106604e-05
23,-0.0348415033178015,0.0317020414437396,-0.0964144751281747,-0.0383411817306604,-0.0665228171491895,-0.000435683563512574,-0.000219734219909993,-0.0953011533349005,-0.0964144751281747,-0.000379816719590857,-0.00939388035454795,0.00825993662487542,-0.0254408711856249,-0.0085754306148043,-0.0173470927566559,-8.46459413955992e-05,1.68520475193297e-06,-0.0251388157313907,-0.0254408711856249,-4.57070399161967e-05
24,-0.0347496747798281,0.0318813312408561,-0.0965962261969866,-0.0362977359341899,-0.0655300094177118,-0.000453872673790521,-0.000243072245605824,-0.0955704673979046,-0.0965962261969865,-0.000348368821078218,-0.00931787130402336,0.00836537692004764,-0.0255115897152828,-0.00765514837258823,-0.016916852509644,-9.58134736823642e-05,-1.01997279117034e-05,-0.0252556597178439,-0.0255115897152828,-3.80780410392941e-05
