negyedev,szcenario,y,yd,y_E,y_D,y_L,x_E,x_D,x_L,i_E,i_D,i_L,efp_E,efp_D,efp_L,acc_E,acc_D,xx,c,infl,r,rer,bstar
23,optimista,0.000638830971601891,0.000718986022147931,0.000256484770923995,0.000791902321897792,0.000665910786074194,0.000132103807283514,0.000523352514037663,0.00048640644082032,0.00563402886509332,0.00753314305081005,0.00526852335289936,-0.00060120378988044,-0.000598359870581788,-0.00111997981395947,0.00775844509058981,0.00973397564852748,0.000362676198040345,-0.000726307429363176,-0.000118478269152762,-0.000320337463200812,0.000436302013874111,-0.0112186501471968
24,optimista,0.000788221916840349,0.000886403530952097,0.000411577177996898,0.000951253576178706,0.000804831559143968,0.000259223412491097,0.000622307946109366,0.000584957374834461,0.00569963429063171,0.00762992697689404,0.00530047209573275,-0.000585942236426889,-0.000583171098184242,-0.0011003628111097,0.00776656279985512,0.00973180704670896,0.000471423871373092,-0.000470444326867166,-0.000103842959110259,-0.000273925869336805,0.00054014497298437,-0.0114042965226528
25,optimista,0.0009053934089042,0.00101388214246616,0.000537981555862562,0.00107626624604571,0.000911862706248942,0.000369633670948921,0.000712787858163989,0.000668906099612212,0.00575831565420768,0.00771432370257823,0.00533577371167953,-0.00057183226668221,-0.000569038113604944,-0.0010821298267539,0.00774524291324127,0.00969463127371498,0.000565217429313946,-0.000278903086081587,-9.11283401326066e-05,-0.000231840527809538,0.000631273313116977,-0.0115726378887618
26,optimista,0.00100060884657835,0.00111508551764924,0.000643177779032324,0.0011793574388068,0.000996610208875594,0.000465538084900105,0.000795817190112236,0.000740243832116598,0.00581202978691136,0.007789312031735,0.00537441647387359,-0.000558680520556961,-0.000555774395060661,-0.0010651489078215,0.007700817517369,0.00962987257030938,0.000646060854377243,-0.000129698600665744,-8.0085626959038e-05,-0.000195784738018054,0.000711358940076015,-0.0117168610479278
27,optimista,0.00108077316402092,0.00119907168906403,0.000732488919579563,0.00126859402108945,0.00106565637931889,0.000548918646192257,0.000872249112639591,0.000800731098407666,0.00586206113173812,0.00785703255801129,0.00541599395826571,-0.000546454269788216,-0.000543361605878166,-0.00104934724334982,0.00763860342934008,0.00954379569945839,0.000715734536344057,-8.21171202212805e-06,-7.05075821986895e-05,-0.000165964476435376,0.000781866522274704,-0.0118361420942585
28,optimista,0.00115033737939225,0.00127154289740643,0.000809614610682644,0.00134891005444616,0.00112335562072065,0.000621533397752857,0.000942825617438668,0.000851920233878805,0.00590933734116586,0.00791916401318072,0.00545995661099589,-0.000535179791044971,-0.000531842950318981,-0.00103467719269993,0.00756317249702901,0.00944183372033709,0.000775811370149359,9.47647512493099e-05,-6.22190730185796e-05,-0.000141788043163465,0.000844085595293284,-0.0119328478273461
29,optimista,0.00121207018622719,0.00133591286399235,0.000877100221422163,0.0014231327671863,0.00117251782780505,0.000684926783874397,0.00100821284520817,0.00089517661679862,0.0059546002893404,0.00797711733195952,0.00550575742250422,-0.000524886379896035,-0.000521264115579299,-0.00102109705839406,0.00747846938226673,0.00932871895123477,0.000827675031124219,0.000184723767267114,-5.50694560905094e-05,-0.00012233065202605,0.000899155051383793,-0.0120106773918958
30,optimista,0.00126765856317663,0.00139413767682554,0.000936711474500012,0.00149277269342356,0.00121494355822202,0.000740446935598498,0.00106901971170439,0.000931698144125515,0.00599848773512585,0.00803212240886378,0.00555292402426219,-0.000515580761349194,-0.000511646058728801,-0.00100856184237257,0.00738786049762511,0.00920852625537156,0.000872538615782525,0.000264781727672306,-4.89268552110408e-05,-0.000106615988551939,0.000948081906594835,-0.0120735360457922
31,optimista,0.00131814135267729,0.00144731514777237,0.000989711858460911,0.0015585875964842,0.00125181290545593,0.000789265835389711,0.00112580641030775,0.000962532849432722,0.00604156459977518,0.00808525823328343,0.0056010837125119,-0.000507240032779591,-0.000502977315544445,-0.000997020209598504,0.00729416148854052,0.00908469060592694,0.000911462573890287,0.000336652346683281,-4.3674097833906e-05,-9.37662568392416e-05,0.00099175600442874,-0.012124934972643
32,optimista,0.00136420056206392,0.00149608667325246,0.0010370546500805,0.00162095593604774,0.00128394895269282,0.000832399778195618,0.00117908746265993,0.000988594762586234,0.0060843294382067,0.00813745814800943,0.00564996131303186,-0.000499814615490051,-0.000495216932290013,-0.000986414900657549,0.00719966649623955,0.00896002934576293,0.000945371373647965,0.00040130490603757,-3.92059599944501e-05,-8.3064921025847e-05,0.00103096196442319,-0.0121677403158966
33,optimista,0.00140634232687359,0.0015408858034798,0.00107950710323441,0.00168010403584946,0.00131198345561575,0.000870728652496501,0.00122933238084716,0.00101067819148263,0.00612721156421205,0.00818950829515743,0.00569936371839471,-0.000493235553785159,-0.000488302079279026,-0.000976684729805485,0.00710618762937393,0.00883678014209606,0.000975068677912265,0.000459374457416865,-3.54273601068122e-05,-7.39665693338592e-05,0.00106638932453,-0.0122041337226646
34,optimista,0.0014449987540616,0.00158207684134579,0.00111772487850494,0.00173622933033481,0.00133645205268185,0.000905013334138711,0.00127696576863501,0.00102947061933514,0.00617056718792472,0.00824204813428213,0.00574915993921471,-0.000487422727952538,-0.000482156720311675,-0.000967767014562595,0.00701510494087292,0.00871665492156083,0.0010012510105097,0.000511392264483235,-3.2252188710732e-05,-6.60786383449682e-05,0.00109864151324073,-0.0122356854466201
35,optimista,0.00148057721945192,0.00162002040781243,0.00115229257924851,0.0017895553588664,0.00135784238312581,0.000935910978548015,0.00132236781189942,0.00104556439120578,0.00621467830307772,0.00829557624541159,0.00579926176109468,-0.00048229214695881,-0.000476699383267511,-0.0009595998011736,0.0069274234936596,0.00860090514149548,0.0010245199986447,0.000557895718935815,-2.96025293432928e-05,-5.91314174220438e-05,0.00112824404258403,-0.0122634743303118
36,optimista,0.0015134776939082,0.0016550946057284,0.00118374296804406,0.00184034587842999,0.0013766132992026,0.000963988282094882,0.00136587553376699,0.00105946733198049,0.00625975531367272,0.00835046148416773,0.00584960749436515,-0.000477761547656153,-0.000471849191799965,-0.00095212360009835,0.00684383306492297,0.00849039234977108,0.00104539332333734,0.00059946422725719,-2.7408095078059e-05,-5.29462736208512e-05,0.00115565213766209,-0.0122882149055166
37,optimista,0.00154409280661374,0.00168769227185982,0.00121256404648277,0.00188889749850201,0.00139319823066911,0.0009897329242529,0.00140778484823298,0.00107161240654192,0.0063059429520683,0.00840695809734143,0.00590014963888739,-0.000473754169273069,-0.00046752999704875,-0.000945282561985335,0.00676476644373066,0.00838565848992729,0.00106431451955694,0.000636714702554705,-2.56057654934993e-05,-4.74073809413025e-05,0.00118125790315559,-0.0123103704762348
