DECOMP,DECOMPW,OPTEN,accscale,SCENARIO,TSCEN,konvergalt,zeta_E,zeta_D,aa_E,aa_D,phi_E,phi_D,lev_E,lev_D,omega_acc_E,omega_acc_D,GDP_pct,y_E_pct,y_D_pct,y_L_pct,y_KKV_pct,KKV_minus_L_pp,D_minus_L_pp,E_minus_L_pp,solver_ok,bk_check_ok,bk_ok,ervenyes,n_forward,n_unstable,bk_qz_criterium,bk_info_code,nearest_unit_complex
3,1,1,100,2,2,1,0.1539335,0.1539335,0.45,0.8,0.30037184,0.30037184,2.12135589,2.12135589,0.391918617867697,0.391918617867697,2.17159244665107,4.3283536564767,4.03172585445721,-1.86778567235436,4.2040113816588,6.07179705401317,5.89951152681157,6.19613932883106,1,1,0,0,13,15,1.000001,3,1.01653238021254
3,1,1,100,2,3,1,0.1539335,0.1539335,0.45,0.8,0.30037184,0.30037184,2.12135589,2.12135589,0.391918617867697,0.391918617867697,2.95032435694225,7.01650733649684,6.63820484413056,-3.42674204409517,6.85792816033784,10.284670204433,10.0649468882257,10.443249380592,1,1,0,0,13,15,1.000001,3,1.01653238021254
3,1,1,100,3,1,1,0.1539335,0.1539335,0.45,0.8,0.30037184,0.30037184,2.12135589,2.12135589,0.391918617867697,0.391918617867697,1.76527972441616,4.59794242235283,4.37856857607656,-2.36704268153988,4.50598393803061,6.87302661957049,6.74561125761644,6.9649851038927,1,1,0,0,13,15,1.000001,3,1.01653238021254
3,1,1,100,3,2,1,0.1539335,0.1539335,0.45,0.8,0.30037184,0.30037184,2.12135589,2.12135589,0.391918617867697,0.391918617867697,1.00651529900424,1.97871575976911,1.83892238101023,-0.848059550100117,1.92011630752283,2.76817585762295,2.68698193111034,2.82677530986922,1,1,0,0,13,15,1.000001,3,1.01653238021254
3,1,1,100,3,3,1,0.1539335,0.1539335,0.45,0.8,0.30037184,0.30037184,2.12135589,2.12135589,0.391918617867697,0.391918617867697,1.3858975117102,3.28832909106097,3.10874547854339,-1.60755111582,3.21305012277672,4.82060123859672,4.71629659436339,4.89588020688097,1,1,0,0,13,15,1.000001,3,1.01653238021254
4,1,1,100,1,1,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,1.9385,1.7185,0.35,0.45,1.51786469270623,3.65575775417483,4.38907750401649,-1.95740664150853,3.96315525785931,5.92056189936784,6.34648414552502,5.61316439568336,1,1,0,0,13,15,1.000001,3,1.0169913514751
4,1,1,100,1,2,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,1.9385,1.7185,0.35,0.45,1.21065242606728,1.51747123218905,2.00389759365143,-0.49290452549161,1.72137443985821,2.21427896534982,2.49680211914304,2.01037575768066,1,1,0,0,13,15,1.000001,3,1.0169913514751
4,1,1,100,1,3,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,1.9385,1.7185,0.35,0.45,1.36425855938676,2.58661449318194,3.19648754883396,-1.22515558350007,2.84226484885876,4.06742043235883,4.42164313233403,3.81177007668201,1,1,0,0,13,15,1.000001,3,1.0169913514751
4,1,1,100,2,1,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,1.9385,1.7185,0.35,0.45,2.06210140803186,4.96078544003482,5.95644930822777,-2.65190996239559,5.37815397218935,8.03006393458495,8.60835927062337,7.61269540243041,1,1,0,0,13,15,1.000001,3,1.0169913514751
4,1,1,100,2,2,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,1.9385,1.7185,0.35,0.45,1.64895387703465,2.08515873805393,2.74879356670236,-0.682407116717668,2.36334528591201,3.04575240262968,3.43120068342003,2.7675658547716,1,1,0,0,13,15,1.000001,3,1.0169913514751
4,1,1,100,2,3,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,1.9385,1.7185,0.35,0.45,1.85552764253326,3.52297208904438,4.35262143746506,-1.66715853955663,3.87074962905068,5.53790816860731,6.01977997702169,5.19013062860101,1,1,0,0,13,15,1.000001,3,1.0169913514751
4,1,1,100,3,1,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,1.9385,1.7185,0.35,0.45,0.9736279773806,2.35073006831485,2.8217056998052,-1.26290332062147,2.54815654352926,3.81105986415073,4.08460902042667,3.61363338893632,1,1,0,0,13,15,1.000001,3,1.0169913514751
4,1,1,100,3,2,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,1.9385,1.7185,0.35,0.45,0.772350975099908,0.949783726324161,1.25900162060051,-0.303401934265552,1.0794035938044,1.38280552806996,1.56240355486607,1.25318566058971,1,1,0,0,13,15,1.000001,3,1.0169913514751
4,1,1,100,3,3,1,0.1539335,0.1539335,0.598555,0.598555,0.3757,0,1.9385,1.7185,0.35,0.45,0.872989476240254,1.65025689731951,2.04035366020286,-0.783152627443509,1.81378006866684,2.59693269611034,2.82350628764637,2.43340952476302,1,1,0,0,13,15,1.000001,3,1.0169913514751
